Station;DateTime;HourTimeStart;Lat(°)Start;Lat(')Start;Lon(°)Start;Lon(')Start;WaL(m);Depth Start (m);Speed (kn);Route;WindDirection;SeaCondition;WheaterCond;BottomType;Notes.x;HourTimeEnd;Lat(°)End;Lat(')End;Lon(°)End;Lon(')End;Depth End (m);WRapA (kg);Tara A (kg);WRapD(kg);Tara D (kg);CodBenthos;WBenthos(kg);Notes Benthos;Litter;Litter(kg);Notes shells;Note benthos
31;05/11/2024;1899-12-31 12:49:00;43;34.276;13;38.759;125;14.5;5.5;313;NO;R;PC;anadara;cavo 75 passi;;;;;;;;;;;;;;;;;
32;05/11/2024;1899-12-31 16:10:00;43;38.505;13;48.892;360;53;5.6;306;NO;R;PC;NA;cavo 210 passi. Aggiunto 1 cm di denti. Rapido D 10 m in più di cavo;1899-12-31 16:40:00;43;40.257;13;45.955;54;12;NA;26;NA;3 rosso;8;sample haul;nel sacchetto del benthos;NA;NA;NA
36;05/11/2024;1899-12-31 17:14:00;43;41.971;13;42.909;360;51;5.5;306;NO;R;PC;NA;rapA calato 5 minuti prima del D con velocità 4,5 kn. Cavo 210 passi;;;;;;;;;;;;;;;;;
49;05/11/2024;1899-12-31 14:45:00;43;36.006;13;45.331;200;31;5.5;152;NO;R;PC;medorippe-liocarcinus;cavo 120 passi. No denti.;1899-12-31 15:15:00;43;33.481;13;47.08;24;10;NA;12;NA;341 bianco;6.6;benthos di tutta la saccata;nel sacchetto del benthos;NA;NA;NA
66;05/11/2024;1899-12-31 11:25:00;43;36.729;13;39.34;150;20;5.5;152;NO;R;PC;anadara;cavo 90 passi;;;;;;;;;;;;;;;;;
10;06/11/2024;1899-12-31 14:40:00;45;5.632;13;15.065;225;35.2;5.5;350;NO;R;PC;Ocnus-Atrina;cavo 135 passi, qualche metro in più al rap A. Giri motore 950;1899-12-31 15:10:00;45;8.371;13;14.53;33.6;176;100;160;100;575 nero;4.4;haul sample;nel sacchetto del benthos;NA;NA;NA
14;06/11/2024;1899-12-31 11:31:00;44;42.474;13;5.158;275;39.5;5.5;350;NO;R;PC;Astropecten;cavo 165 passi, qualche metro in più  al rap A. Giri motore 910. Seguite le tracce del 2020 e 2021;1899-12-31 12:01:00;44;45.234;13;5.255;40;142;92;150;100;37 rosso;4.7;haul sample;nel sacchetto del benthos;NA;NA;NA
22;06/11/2024;1899-12-31 07:07:00;44;23.577;13;40.318;350;56.6;5.6;312;NO;R;PC;Holothuria spp;aggiunta mezza linguetta ai denti. Cavo 210 passi, dato qualche metro in più  al rap A;1899-12-31 07:22:00;44;24.576;13;38.808;55;406;100;580;100;48 rosso;9.4;haul sample. HOLOFOR n. tot stimare dal subsample, peso tot 2,4;;;;
23;06/11/2024;1899-12-31 05:10:00;44;19.442;14;3.52;350;56.5;5.5;320;NA;C;NA;Holothuria;cavo 210 passi;;;;;;;;;;;;;;;;;
51;06/11/2024;1899-12-31 18:45:00;45;19.908;13;1.951;225;30;5.6;84;/;C;N;Turrritella;cavo 135 passi, più  abbondante per il rap A. Cala serale. Durata ridotta per completare la programmazione giornaliera. Giri motore 930.;1899-12-31 19:00:00;45;20.061;13;3.957;31;188;100;220;100;339 bianco;5.7;haul sample;nel sacco del benthos;NA;MUREBRA totali: rap D n. 119 peso 2,8 kg;
