"Gear","Species","Lenght_mm","Weight_g","Sex","Mat","Number","Total weight_g","NOTE"
"A","MELIKER",42,37,"F","2 - Spermatofora",NA,NA,NA
"A","MELIKER",35,25,"M",NA,NA,NA,NA
"A","MELIKER",44,35,"F","2 - Spermatofora",NA,NA,NA
"A","MELIKER",46,46,"F","2 - Spermatofora",NA,NA,NA
"A","MELIKER",42,38,"F","2 - Spermatofora",NA,NA,NA
"A","MELIKER",41,36,"F","2 - Spermatofora",NA,NA,NA
"A","MELIKER",37,27,"M",NA,NA,NA,NA
"A","MELIKER",38,30,"F",NA,NA,NA,NA
"A","MELIKER",39,29,"F","2 - Spermatofora",NA,NA,NA
"A","MELIKER",48,49,"F","2 - Spermatofora",NA,NA,NA
"A","MELIKER",40,33,"F","2 - Spermatofora",NA,NA,NA
"A","MELIKER",39,32,"F","2 - Spermatofora",NA,NA,NA
"A","MELIKER",36,26,"F",NA,NA,NA,NA
"A","MELIKER",32,17,"F",NA,NA,NA,NA
"A","MELIKER",40,35,"F","2 - Spermatofora",NA,NA,NA
"A","MELIKER",31,17,"M",NA,NA,NA,NA
"A","MELIKER",31,18,"M",NA,NA,NA,NA
"A","MELIKER",31,19,"M",NA,NA,NA,NA
"A","MELIKER",31,18,"M",NA,NA,NA,NA
"A","MELIKER",29,14,"M",NA,NA,NA,NA
"A","MELIKER",30,20,"M",NA,NA,NA,NA
"A","MELIKER",32,17,"M",NA,NA,NA,NA
"A","MELIKER",31,18,"F",NA,NA,NA,NA
"A","SEPIOFF",97,125,"M","1",NA,NA,NA
"A","SEPIOFF",86,100,"F","1",NA,NA,NA
"A","SEPIOFF",135,334,"M","1",NA,NA,NA
"A","SEPIOFF",55,27,"M","1",NA,NA,NA
"D","SEPIOFF",125,323,"F","1",NA,NA,NA
"D","SEPIOFF",112,190,"F","1",NA,NA,NA
"D","SEPIOFF",134,284,"M","2",NA,NA,NA
"D","SEPIOFF",140,342,"F","2",NA,NA,NA
"D","SEPIOFF",100,144,"M","1",NA,NA,NA
"D","SEPIOFF",99,115,"F","1",NA,NA,NA
"D","SEPIOFF",112,196,"M","1",NA,NA,NA
"D","SEPIOFF",100,136,"F","1",NA,NA,NA
"D","SEPIOFF",110,196,"M","1",NA,NA,NA
"D","SEPIOFF",110,184,"M","2",NA,NA,NA
"D","SEPIOFF",140,285,"M","2",NA,NA,NA
"D","SEPIOFF",64,35,"M","1",NA,NA,NA
