"Gear","Species","Lenght_mm","Weight_g","Sex","Mat","Number","Total weight_g"
"D","SOLEVUL",200,50,"F",1,NA,NA
"D","SOLEVUL",175,33,"M",1,NA,NA
"D","SOLEVUL",182,37,"F",1,NA,NA
"D","SOLEVUL",204,53,"F",1,NA,NA
"D","SOLEVUL",192,44,"F",1,NA,NA
"D","SOLEVUL",165,27,"M",1,NA,NA
"D","SOLEVUL",183,38,"F",1,NA,NA
"D","SOLEVUL",187,41,"M",1,NA,NA
"D","SOLEVUL",182,37,"M",1,NA,NA
"D","SOLEVUL",201,51,"M",1,NA,NA
"A","SOLEVUL",230,78,"F",2,NA,NA
"A","SOLEVUL",197,48,"M",1,NA,NA
"A","SOLEVUL",190,43,"M",1,NA,NA
"A","SOLEVUL",180,36,"F",1,NA,NA
"A","SOLEVUL",205,54,"M",1,NA,NA
"A","SOLEVUL",210,59,"F",1,NA,NA
"A","SOLEVUL",184,39,"F",1,NA,NA
"A","SOLEVUL",177,34,"M",1,NA,NA
"A","SOLEVUL",175,33,"F",1,NA,NA
"A","SOLEVUL",180,36,"F",1,NA,NA
