alpha,beta,sigma,specie
-1.12865459,2.515349841,0.162228175,AEQUOPE
-1.022972465,2.434033601,0.15979069,AEQUOPE
-0.789784652,2.452258825,0.160035765,AEQUOPE
-1.253236554,2.627930269,0.164957094,AEQUOPE
-1.017292909,2.538727168,0.162330968,AEQUOPE
-1.061557967,2.512371425,0.158633687,AEQUOPE
-1.04755424,2.385928827,0.162405439,AEQUOPE
-1.136006639,2.467832526,0.159064533,AEQUOPE
-1.049174982,2.568757033,0.163244657,AEQUOPE
-1.133377504,2.696137145,0.160521025,AEQUOPE
-1.036259876,2.686284445,0.160174568,AEQUOPE
-0.908575845,2.511630998,0.160805341,AEQUOPE
-1.222686295,2.485448083,0.162647929,AEQUOPE
-1.079750511,2.47291296,0.164324529,AEQUOPE
-1.08258924,2.471188071,0.159990097,AEQUOPE
-0.972836567,2.797271811,0.161241727,AEQUOPE
-1.025829281,2.551978043,0.161114027,AEQUOPE
-1.180499329,2.571619326,0.160785113,AEQUOPE
-1.087153468,2.642124821,0.162245486,AEQUOPE
-1.47687859,2.486433319,0.160363281,AEQUOPE
-1.230356474,2.433663886,0.159318308,AEQUOPE
-0.825402791,2.49724894,0.160225199,AEQUOPE
-1.171112641,2.364696428,0.162536665,AEQUOPE
-0.971721201,2.538538017,0.163944199,AEQUOPE
-1.001628982,2.368705294,0.159881586,AEQUOPE
-0.96911016,2.470439022,0.160920431,AEQUOPE
-1.021754399,2.513922123,0.159315694,AEQUOPE
-0.988501951,2.520365066,0.159737312,AEQUOPE
-1.021402385,2.439763658,0.161780672,AEQUOPE
-0.955480392,2.473532612,0.161318692,AEQUOPE
-0.992147839,2.454872296,0.162818604,AEQUOPE
-0.982613512,2.622909194,0.161159642,AEQUOPE
-1.090725916,2.320030955,0.159581268,AEQUOPE
-1.273098241,2.499839057,0.162069312,AEQUOPE
-1.066160185,2.399038548,0.163326167,AEQUOPE
-1.143274901,2.567676986,0.158831974,AEQUOPE
-1.161402235,2.667616314,0.160657535,AEQUOPE
-1.029413355,2.473480037,0.161564754,AEQUOPE
-1.160866025,2.492835223,0.161443619,AEQUOPE
-0.916342772,2.30761829,0.158946823,AEQUOPE
-1.03183892,2.600272228,0.161627813,AEQUOPE
-1.22545347,2.533151922,0.161726356,AEQUOPE
-0.92916426,2.554868205,0.164138191,AEQUOPE
-1.119800297,2.662340459,0.16022793,AEQUOPE
-1.056816962,2.415920585,0.15788565,AEQUOPE
-1.367959746,2.46569191,0.162103382,AEQUOPE
-1.004455627,2.37631484,0.161752888,AEQUOPE
-1.051546543,2.332701653,0.162087973,AEQUOPE
-1.178882139,2.49050832,0.163273096,AEQUOPE
-1.35262084,2.421709946,0.157941866,AEQUOPE
-1.086904658,2.5657765,0.16065476,AEQUOPE
-1.208371708,2.570409254,0.158843281,AEQUOPE
-1.024976404,2.42831647,0.159191738,AEQUOPE
-1.073525977,2.460908278,0.161519453,AEQUOPE
-1.046982646,2.458506141,0.162420611,AEQUOPE
-1.182651479,2.550755253,0.158903223,AEQUOPE
-1.081138076,2.490652404,0.157597024,AEQUOPE
-1.252874103,2.620093802,0.159708524,AEQUOPE
-1.012815731,2.51291802,0.159232565,AEQUOPE
-1.019139182,2.460143403,0.158608903,AEQUOPE
-0.900862566,2.522364728,0.159980403,AEQUOPE
-1.211504915,2.493426119,0.163074483,AEQUOPE
-1.259849179,2.527108838,0.162206045,AEQUOPE
-1.044204164,2.313581508,0.160057222,AEQUOPE
-1.0402939,2.416254247,0.162499459,AEQUOPE
-1.029910532,2.470830646,0.160528961,AEQUOPE
-1.247421403,2.530508639,0.158082119,AEQUOPE
-0.938547671,2.481805999,0.161051879,AEQUOPE
-1.050961003,2.553236896,0.162868952,AEQUOPE
-0.985546463,2.573720327,0.159646345,AEQUOPE
-0.96509841,2.553279932,0.162771607,AEQUOPE
-1.130121641,2.4984817,0.158625356,AEQUOPE
-0.848809482,2.498166365,0.1608565,AEQUOPE
-1.080663232,2.573420644,0.161871315,AEQUOPE
-1.053729159,2.571448382,0.159576841,AEQUOPE
-1.126032604,2.526726567,0.160121148,AEQUOPE
-1.152422122,2.540558377,0.159768997,AEQUOPE
-1.051735166,2.360851858,0.160615463,AEQUOPE
-0.998553211,2.606492744,0.161799143,AEQUOPE
-0.848167915,2.441949526,0.160251779,AEQUOPE
-1.026959897,2.464629516,0.159427498,AEQUOPE
-1.043104182,2.54611831,0.160918772,AEQUOPE
-1.086277259,2.582195433,0.159722722,AEQUOPE
-1.051150684,2.548776585,0.161540666,AEQUOPE
-1.209775603,2.492300654,0.16168772,AEQUOPE
-0.934212241,2.529993516,0.160289622,AEQUOPE
-1.011294994,2.7221633,0.163557385,AEQUOPE
-0.97622473,2.607389076,0.160773297,AEQUOPE
-0.892155673,2.416063242,0.159127776,AEQUOPE
-1.213477017,2.668026084,0.15770986,AEQUOPE
-0.951945698,2.486968076,0.162662726,AEQUOPE
-0.933045884,2.581989775,0.162722251,AEQUOPE
-1.074898571,2.548011819,0.157321633,AEQUOPE
-1.125810381,2.518323674,0.157614732,AEQUOPE
-1.207205363,2.596352185,0.160537772,AEQUOPE
-1.086157936,2.46384532,0.164101615,AEQUOPE
-0.971941981,2.500829352,0.16027478,AEQUOPE
-0.859729407,2.429026488,0.162425353,AEQUOPE
-1.159922964,2.308326297,0.158759939,AEQUOPE
-1.115640763,2.43014305,0.158768982,AEQUOPE
-4.105704533,2.676039702,0.260464115,ARNOLAT
-4.091358146,2.634895105,0.252385471,ARNOLAT
-4.116927379,2.614392138,0.246635658,ARNOLAT
-3.410792306,2.450727682,0.247083457,ARNOLAT
-4.033622161,2.622489077,0.246627168,ARNOLAT
-4.097563321,2.538976575,0.267199642,ARNOLAT
-3.973788809,2.675576318,0.250221495,ARNOLAT
-3.60584903,2.685436471,0.254810047,ARNOLAT
-4.024683415,2.638725716,0.239012448,ARNOLAT
-3.806213923,2.54575977,0.244756569,ARNOLAT
-3.532348608,2.676236887,0.243242191,ARNOLAT
-4.063079153,2.501299309,0.238908069,ARNOLAT
-4.084692044,2.6261955,0.250403123,ARNOLAT
-3.767757304,2.598827314,0.277375576,ARNOLAT
-4.032957992,2.683315162,0.256556044,ARNOLAT
-4.076370591,2.592618382,0.238963564,ARNOLAT
-3.792459194,2.676106934,0.257407222,ARNOLAT
-3.750961009,2.672596645,0.242544833,ARNOLAT
-3.604398241,2.683083412,0.248713579,ARNOLAT
-3.787358182,2.765202899,0.26638146,ARNOLAT
-4.038453932,2.486226674,0.245763913,ARNOLAT
-3.734818347,2.581045877,0.270328846,ARNOLAT
-4.095071933,2.676219192,0.265554341,ARNOLAT
-3.771892254,2.695211937,0.246205152,ARNOLAT
-3.691126332,2.625223163,0.259014395,ARNOLAT
-3.754395715,2.674884408,0.247105411,ARNOLAT
-4.084692044,2.472786567,0.268733941,ARNOLAT
-3.897436077,2.528348247,0.256188946,ARNOLAT
-3.911581801,2.542411442,0.245354929,ARNOLAT
-3.709816536,2.547583979,0.27407069,ARNOLAT
-3.787875236,2.58948569,0.26971372,ARNOLAT
-3.757580017,2.585772722,0.257898701,ARNOLAT
-4.150350097,2.646793892,0.264433995,ARNOLAT
-3.611661752,2.596996246,0.246825267,ARNOLAT
-3.681428083,2.680460497,0.248094821,ARNOLAT
-4.029877225,2.764439329,0.240270923,ARNOLAT
-3.927408563,2.633450968,0.252026421,ARNOLAT
-3.313633881,2.711276735,0.247901679,ARNOLAT
-3.892713983,2.620416697,0.246419431,ARNOLAT
-4.045564384,2.564089036,0.26888227,ARNOLAT
-3.880304059,2.479670561,0.256837504,ARNOLAT
-4.012616149,2.754189923,0.238138889,ARNOLAT
-3.880432317,2.546081384,0.243727863,ARNOLAT
-3.657220317,2.588477738,0.255413758,ARNOLAT
-3.780460699,2.688393983,0.247356966,ARNOLAT
-4.058400784,2.721567355,0.258415954,ARNOLAT
-3.678449121,2.577972966,0.238505238,ARNOLAT
-3.585147076,2.555989234,0.244779126,ARNOLAT
-3.709170879,2.671361446,0.258141302,ARNOLAT
-3.595420386,2.759107458,0.232787738,ARNOLAT
-3.850416414,2.596821935,0.239910068,ARNOLAT
-3.835707746,2.678451679,0.241704363,ARNOLAT
-3.57337764,2.562605799,0.257644126,ARNOLAT
-3.910707632,2.677680053,0.238368329,ARNOLAT
-4.084692044,2.597146318,0.269362821,ARNOLAT
-3.717394245,2.69750103,0.248289546,ARNOLAT
-3.742737462,2.727006664,0.24928647,ARNOLAT
-3.711299771,2.743120445,0.242354452,ARNOLAT
-3.855808267,2.584305009,0.249618015,ARNOLAT
-4.064906643,2.61606594,0.246633436,ARNOLAT
-4.032229764,2.683978285,0.246825267,ARNOLAT
-3.937935966,2.603821268,0.250294088,ARNOLAT
-3.826379014,2.574349711,0.242829507,ARNOLAT
-3.946329033,2.631365934,0.258347728,ARNOLAT
-3.755180316,2.622962999,0.242821363,ARNOLAT
-3.54645057,2.689720287,0.248803124,ARNOLAT
-3.32210486,2.58384912,0.248108897,ARNOLAT
-3.790259037,2.532048763,0.247411357,ARNOLAT
-3.700519846,2.573565042,0.253439734,ARNOLAT
-3.61599157,2.669357487,0.234978418,ARNOLAT
-3.961870038,2.644614254,0.256147545,ARNOLAT
-4.205690691,2.560899023,0.245251898,ARNOLAT
-3.805949072,2.640217962,0.247681705,ARNOLAT
-4.036660996,2.623703266,0.260457586,ARNOLAT
-4.007866462,2.624082861,0.246695616,ARNOLAT
-3.608201523,2.598370238,0.269170241,ARNOLAT
-3.731031521,2.622123743,0.275610099,ARNOLAT
-4.102841079,2.58811837,0.247450221,ARNOLAT
-3.908681946,2.499240153,0.241184884,ARNOLAT
-3.759173045,2.733970232,0.248234948,ARNOLAT
-3.677494066,2.61499941,0.246861099,ARNOLAT
-3.818007335,2.680470481,0.242661731,ARNOLAT
-3.672752086,2.681247872,0.261108075,ARNOLAT
-3.846803072,2.680985233,0.246201279,ARNOLAT
-3.615745767,2.671428899,0.256386998,ARNOLAT
-3.885479909,2.671715786,0.257975196,ARNOLAT
-3.740229288,2.601883781,0.264681692,ARNOLAT
-4.206726104,2.572893913,0.23433954,ARNOLAT
-3.581779632,2.703599064,0.248358024,ARNOLAT
-3.934936129,2.709600119,0.230332775,ARNOLAT
-3.966589941,2.644497819,0.249768112,ARNOLAT
-4.010899012,2.501795347,0.245326557,ARNOLAT
-3.870996876,2.655578247,0.246825267,ARNOLAT
-3.319588398,2.654387039,0.239465846,ARNOLAT
-3.955535233,2.570902526,0.256129676,ARNOLAT
-4.071900694,2.685784773,0.263407494,ARNOLAT
-3.981618699,2.617782942,0.254829727,ARNOLAT
-4.074955909,2.605141091,0.283350521,ARNOLAT
-4.018251045,2.591136779,0.251476017,ARNOLAT
-3.788595442,2.688663089,0.248690393,ARNOLAT
-4.405578725,2.978438445,0.246732976,BUGLLUT
-4.68423164,2.839958404,0.242377231,BUGLLUT
-4.411893573,2.979348961,0.24400947,BUGLLUT
-4.694411039,3.014030379,0.240793177,BUGLLUT
-4.42676053,2.972141787,0.243190754,BUGLLUT
-4.567839632,3.102469066,0.243600013,BUGLLUT
-4.350660837,2.879314627,0.236386364,BUGLLUT
-4.043660793,2.819954093,0.23940617,BUGLLUT
-4.829836224,3.131978936,0.234513558,BUGLLUT
-4.463445913,2.939432204,0.245485408,BUGLLUT
-4.356614478,2.961033279,0.240900554,BUGLLUT
-4.244935377,2.882876051,0.23553333,BUGLLUT
-4.426531538,2.873437168,0.23712889,BUGLLUT
-4.697437114,3.085808597,0.23596424,BUGLLUT
-4.409737683,2.93426914,0.243747807,BUGLLUT
-4.419318009,2.882936728,0.22838546,BUGLLUT
-4.15122135,2.929781016,0.24067382,BUGLLUT
-4.26194238,2.853389966,0.245244485,BUGLLUT
-3.895098019,2.978579009,0.254595652,BUGLLUT
-4.12663261,3.008042717,0.240690056,BUGLLUT
-4.267613501,2.877784294,0.237645739,BUGLLUT
-4.44740461,2.684439345,0.231254702,BUGLLUT
-3.749152571,2.936538634,0.228791766,BUGLLUT
-4.418462554,2.916953005,0.239235947,BUGLLUT
-4.19550129,2.974070302,0.25275071,BUGLLUT
-4.663213836,2.997220178,0.231373824,BUGLLUT
-4.201549113,3.071568406,0.24182478,BUGLLUT
-4.038876349,3.015913214,0.250679388,BUGLLUT
-4.434100383,2.918788743,0.245983084,BUGLLUT
-4.473630187,2.84819548,0.236572893,BUGLLUT
-4.295412438,2.858265781,0.226621037,BUGLLUT
