"gear","species_name","length_mm","weight_g","Sex","Mat","id_specimen","length_field2","length_field3","total_number","subsample_number","kg_field1","kg_field2","kg_field3","haul_weight","type_subsample","Notes","ID"
"D","SOLEVUL",172,42,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,315
NA,NA,265,222,"F",3,NA,0,0,0,0,0,0,0,0,NA,NA,316
NA,NA,170,38,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,317
NA,NA,175,48,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,318
NA,NA,185,54,"M",3,NA,0,0,0,0,0,0,0,0,NA,NA,319
NA,NA,222,108,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,320
NA,NA,208,73,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,321
NA,NA,231,108,"M",2,NA,0,0,0,0,0,0,0,0,NA,NA,322
NA,NA,235,113,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,323
NA,NA,210,82,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,324
NA,NA,205,91,"M",2,NA,0,0,0,0,0,0,0,0,NA,NA,325
NA,NA,173,47,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,326
NA,NA,175,45,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,327
NA,NA,170,41,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,328
NA,NA,170,41,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,329
NA,NA,167,39,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,330
NA,NA,280,239,"F",3,NA,0,0,0,0,0,0,0,0,NA,NA,331
NA,NA,187,57,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,332
NA,NA,219,98,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,333
NA,NA,173,48,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,334
NA,NA,178,49,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,335
NA,NA,175,42,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,336
NA,NA,158,34,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,337
NA,NA,172,44,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,338
NA,NA,163,33,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,339
NA,NA,215,94,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,340
NA,NA,229,137,"F",3,NA,0,0,0,0,0,0,0,0,NA,NA,341
NA,NA,160,33,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,342
NA,NA,238,128,"F",3,NA,0,0,0,0,0,0,0,0,NA,NA,343
NA,NA,164,37,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,344
NA,NA,170,40,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,345
NA,NA,187,63,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,346
NA,NA,167,41,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,347
NA,NA,257,169,"F",3,NA,0,0,0,0,0,0,0,0,NA,NA,348
NA,NA,186,57,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,349
NA,NA,230,113,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,350
NA,NA,165,45,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,351
NA,NA,171,44,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,352
NA,NA,155,29,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,353
NA,NA,174,45,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,354
NA,NA,163,36,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,355
NA,NA,165,36,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,356
NA,NA,181,49,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,357
NA,NA,218,101,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,358
NA,NA,239,108,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,359
NA,NA,226,109,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,360
NA,NA,192,64,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,361
NA,NA,175,51,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,362
NA,NA,235,102,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,363
NA,NA,151,31,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,364
NA,NA,226,104,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,365
NA,NA,150,31,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,366
NA,NA,216,95,"M",2,NA,0,0,0,0,0,0,0,0,NA,NA,367
NA,NA,168,45,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,368
NA,NA,220,103,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,369
NA,NA,248,136,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,370
NA,NA,183,57,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,371
NA,NA,173,46,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,372
NA,NA,225,103,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,373
NA,NA,180,51,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,374
NA,NA,210,81,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,375
NA,NA,242,144,"M",2,NA,0,0,0,0,0,0,0,0,NA,NA,376
NA,NA,245,146,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,377
NA,NA,0,105,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,378
NA,NA,192,59,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,379
NA,NA,172,48,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,380
NA,NA,215,84,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,381
