"gear","species_name","length_mm","weight_g","Sex","Mat","id_specimen","length_field2","length_field3","total_number","subsample_number","kg_field1","kg_field2","kg_field3","haul_weight","type_subsample","Notes","ID"
"A","MELIKER",31,23,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,1
NA,"GOBINIG",112,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,2
NA,NA,114,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,3
NA,NA,79,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,4
NA,NA,79,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,5
NA,NA,85,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,6
NA,NA,57,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,7
NA,NA,86,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,8
NA,NA,85,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,9
NA,NA,87,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,10
NA,NA,65,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,11
NA,NA,75,73,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,12
NA,"SERAHEP",86,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,13
NA,NA,82,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,14
NA,NA,88,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,15
NA,NA,82,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,16
NA,NA,65,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,17
NA,NA,82,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,18
NA,NA,82,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,19
NA,NA,84,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,20
NA,NA,83,87,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,21
NA,"ARNOLAT",89,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,22
NA,NA,77,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,23
NA,NA,78,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,24
NA,NA,95,20,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,25
NA,"SCORNOT",104,22,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,26
NA,"BUGLLUT",82,10,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,27
NA,"ELEDMOS",105,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,28
NA,NA,80,398,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,29
NA,"SEPIOFF",85,63,"M",2,NA,0,0,0,0,0,0,0,0,NA,NA,30
NA,NA,85,95,"M",3,NA,0,0,0,0,0,0,0,0,NA,NA,31
NA,NA,94,112,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,32
"D","ELEDMOS",80,114,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,33
NA,"PECTJAC",69,47,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,34
NA,"BUGLLUT",77,5,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,35
NA,"MELIKER",34,23,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,36
NA,NA,47,51,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,37
NA,"GOBINIG",87,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,38
NA,NA,73,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,39
NA,NA,70,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,40
NA,NA,109,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,41
NA,NA,82,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,42
NA,NA,90,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,43
NA,NA,95,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,44
NA,NA,64,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,45
NA,NA,71,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,46
NA,NA,57,64,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,47
NA,"ALLOMED",70,9,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,48
NA,"SERAHEP",81,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,49
NA,NA,75,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,50
NA,NA,84,32,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,51
NA,"ARNOTHO",111,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,52
NA,NA,80,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,53
NA,NA,80,22,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,54
NA,"ARNOLAT",85,5,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,55
NA,"SEPIOFF",90,96,"M",3,NA,0,0,0,0,0,0,0,0,NA,NA,56
NA,NA,91,88,"M",2,NA,0,0,0,0,0,0,0,0,NA,NA,57
NA,NA,73,59,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,58
"A","ARNOTHO",78,5,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,59
"D","SOLEVUL",296,259,"F",4,"SS8238",0,0,0,0,0,0,0,0,NA,NA,60
NA,NA,263,160,"M",3,"SS8239",0,0,0,0,0,0,0,0,NA,NA,61
"A","SOLEVUL",290,232,"F",3,"SS8240",0,0,0,0,0,0,0,0,NA,NA,62
NA,NA,268,164,"M",4,"SS8241",0,0,0,0,0,0,0,0,NA,NA,63
NA,NA,290,205,"M",3,"SS8242",0,0,0,0,0,0,0,0,NA,NA,64
NA,NA,261,149,"M",3,"SS8243",0,0,0,0,0,0,0,0,NA,NA,65
NA,NA,311,284,"F",4,"SS8244",0,0,0,0,0,0,0,0,NA,NA,66
